model,model_id,task,metric,value
s3f,S3F,T2_random_multi_ranking,spearman,0.27847032714593956
s3f_msa,S3F-MSA,T2_random_multi_ranking,spearman,0.28033489138927614
venusrem,VenusREM_ProSST-2048_aa_seq_aln,T2_random_multi_ranking,spearman,0.2804161593737846
esm2,esm2_t33_650M_UR50D,T3_anchor_successor_ranking,NDCG,0.8839791061774258
progen2_base,progen2_base,T3_anchor_successor_ranking,NDCG,0.860588395161454
prosst_2048,ProSST-2048,T3_anchor_successor_ranking,NDCG,0.8902673325326659
s3f,S3F,T3_anchor_successor_ranking,NDCG,0.8841659508214627
s3f_msa,S3F-MSA,T3_anchor_successor_ranking,NDCG,0.8860092946470797
venusrem,VenusREM_ProSST-2048_aa_seq_aln,T3_anchor_successor_ranking,NDCG,0.8897352695578369
esm2,esm2_t33_650M_UR50D,T3_anchor_successor_ranking,NMS@5,0.8098530256426046
progen2_base,progen2_base,T3_anchor_successor_ranking,NMS@5,0.7835481031843841
prosst_2048,ProSST-2048,T3_anchor_successor_ranking,NMS@5,0.8619827370582208
s3f,S3F,T3_anchor_successor_ranking,NMS@5,0.8522961177139661
s3f_msa,S3F-MSA,T3_anchor_successor_ranking,NMS@5,0.838192691237749
venusrem,VenusREM_ProSST-2048_aa_seq_aln,T3_anchor_successor_ranking,NMS@5,0.857818836903109
esm2,esm2_t33_650M_UR50D,T3_anchor_successor_ranking,Recall@5,0.3044776119402985
progen2_base,progen2_base,T3_anchor_successor_ranking,Recall@5,0.27164179104477604
prosst_2048,ProSST-2048,T3_anchor_successor_ranking,Recall@5,0.36716417910447763
s3f,S3F,T3_anchor_successor_ranking,Recall@5,0.29552238805970127
s3f_msa,S3F-MSA,T3_anchor_successor_ranking,Recall@5,0.3223880597014925
venusrem,VenusREM_ProSST-2048_aa_seq_aln,T3_anchor_successor_ranking,Recall@5,0.36119402985074633
esm2,esm2_t33_650M_UR50D,T3_anchor_successor_ranking,spearman,0.3127730998125147
progen2_base,progen2_base,T3_anchor_successor_ranking,spearman,0.18701799249474813
prosst_2048,ProSST-2048,T3_anchor_successor_ranking,spearman,0.3835997530237149
s3f,S3F,T3_anchor_successor_ranking,spearman,0.3357399317889938
s3f_msa,S3F-MSA,T3_anchor_successor_ranking,spearman,0.3159449454510549
venusrem,VenusREM_ProSST-2048_aa_seq_aln,T3_anchor_successor_ranking,spearman,0.36982423198365133
esm2,esm2_t33_650M_UR50D,T4_single_context_combo_ranking,NDCG,0.8828086739230232
progen2_base,progen2_base,T4_single_context_combo_ranking,NDCG,0.8736394613350058
prosst_2048,ProSST-2048,T4_single_context_combo_ranking,NDCG,0.8724893934269318
s3f,S3F,T4_single_context_combo_ranking,NDCG,0.88360765166217
s3f_msa,S3F-MSA,T4_single_context_combo_ranking,NDCG,0.9005379322768126
venusrem,VenusREM_ProSST-2048_aa_seq_aln,T4_single_context_combo_ranking,NDCG,0.8809046313343305
esm2,esm2_t33_650M_UR50D,T4_single_context_combo_ranking,NMS@5,0.8129410854457764
progen2_base,progen2_base,T4_single_context_combo_ranking,NMS@5,0.8357043469340726
prosst_2048,ProSST-2048,T4_single_context_combo_ranking,NMS@5,0.8077756865446134
s3f,S3F,T4_single_context_combo_ranking,NMS@5,0.8410347049599258
s3f_msa,S3F-MSA,T4_single_context_combo_ranking,NMS@5,0.8686048664888103
venusrem,VenusREM_ProSST-2048_aa_seq_aln,T4_single_context_combo_ranking,NMS@5,0.821239164404907
esm2,esm2_t33_650M_UR50D,T4_single_context_combo_ranking,Recall@5,0.22758620689655176
progen2_base,progen2_base,T4_single_context_combo_ranking,Recall@5,0.17931034482758623
prosst_2048,ProSST-2048,T4_single_context_combo_ranking,Recall@5,0.2482758620689656
s3f,S3F,T4_single_context_combo_ranking,Recall@5,0.2758620689655173
s3f_msa,S3F-MSA,T4_single_context_combo_ranking,Recall@5,0.2896551724137931
venusrem,VenusREM_ProSST-2048_aa_seq_aln,T4_single_context_combo_ranking,Recall@5,0.2551724137931035
esm2,esm2_t33_650M_UR50D,T4_single_context_combo_ranking,spearman,0.3153028145800256
progen2_base,progen2_base,T4_single_context_combo_ranking,spearman,0.2568136741177207
prosst_2048,ProSST-2048,T4_single_context_combo_ranking,spearman,0.3778617911930667
s3f,S3F,T4_single_context_combo_ranking,spearman,0.3487112810212152
s3f_msa,S3F-MSA,T4_single_context_combo_ranking,spearman,0.36621867928824037
venusrem,VenusREM_ProSST-2048_aa_seq_aln,T4_single_context_combo_ranking,spearman,0.38207673675661624
